,,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,
PP_OO_DbMiReSp_GOV00006027782,PP_OO_DbMiReSp_GOV,6027782,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,8.7819,8.7819,0,0,0,3.5277,2.4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006057761,PP_OO_DbMiReSp_GOV,6057761,JANUMET,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,4.391,4.391,0,0,0,1.7639,1.3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006057762,PP_OO_DbMiReSp_GOV,6057762,JANUMET,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,4.391,4.391,0,0,0,1.7639,1.3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006307502,PP_OO_DbMiReSp_GOV,6307502,PREVYMIS,CMV AGENTS,329.2679,338.7798,355.5443,372.1617,388.6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006307602,PP_OO_DbMiReSp_GOV,6307602,PREVYMIS,CMV AGENTS,329.2679,338.7798,355.5443,372.1617,388.6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006500701,PP_OO_DbMiReSp_GOV,6500701,DELSTRIGO,HIV-MULTICLASS COMBO,112.02,116.0017,122.4724,128.9076,135.3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006502802,PP_OO_DbMiReSp_GOV,6502802,VERQUVO,VASOACTIVE SGC STIMULATOR,27.732,28.6695,30.1853,31.6865,33.1737,23.3259,24.6558,25.9594,27.2505,28.5294,4.139,4.375,4.6063,4.8354,5.0623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006502901,PP_OO_DbMiReSp_GOV,6502901,VERQUVO,VASOACTIVE SGC STIMULATOR,27.7321,28.6697,30.1855,31.6867,33.1738,23.3259,24.6558,25.9594,27.2505,28.5294,4.139,4.375,4.6063,4.8354,5.0623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00006536806,PP_OO_DbMiReSp_GOV,6536806,STEGLUJAN,SGLT-2 INHIBITORS & COMBOS,21.996,21.996,21.996,21.996,21.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00009720030,PP_OO_DbMiReSp_GOV,9720030,SOMAVERT,GROWTH HORMONES,1051.008,1076.7585,1124.3771,1172.5578,1221.3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00013265302,PP_OO_DbMiReSp_GOV,13265302,GENOTROPIN MINIQUICK,GROWTH HORMONES,186.5386,186.8713,187.9952,189.3254,190.8419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023320503,PP_OO_DbMiReSp_GOV,23320503,LUMIGAN,OPHTHALMIC PROSTAGLANDINS,126.7,131.207,138.5307,145.8141,153.0582,105.6888,112.0332,118.2866,0,0,63.6775,67.5,58.1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023530105,PP_OO_DbMiReSp_GOV,23530105,RESTASIS MULTIDOSE,OPHTHALMIC IMMUNOMODULATORS,140.8655,141.3798,142.9714,144.8598,147.0217,117.5416,118.2583,119.5896,121.1692,122.9775,74.3479,74.8012,75.6434,76.6425,77.7863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023650110,PP_OO_DbMiReSp_GOV,23650110,UBRELVY,MIGRAINE PRODUCTS,130.182,134.0416,140.735,147.7626,155.1411,108.057,113.4529,119.1181,125.0663,131.3115,52.9737,55.6189,58.3962,61.3123,64.3739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023916360,PP_OO_DbMiReSp_GOV,23916360,RESTASIS,OPHTHALMIC IMMUNOMODULATORS,12.9127,12.9598,13.1057,13.2788,13.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023917715,PP_OO_DbMiReSp_GOV,23917715,ALPHAGAN P,OPHTHALMIC ADRENERGIC AGENTS,49.7427,50.0506,51.0066,52.1497,53.4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023921105,PP_OO_DbMiReSp_GOV,23921105,COMBIGAN,OPHTHALMIC BETA BLOCKERS,48.992,49.1709,49.7246,50.3814,51.1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023932110,PP_OO_DbMiReSp_GOV,23932110,ALPHAGAN P,OPHTHALMIC ADRENERGIC AGENTS,46.644,46.9327,47.8292,48.9011,50.1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00023932115,PP_OO_DbMiReSp_GOV,23932115,ALPHAGAN P,OPHTHALMIC ADRENERGIC AGENTS,46.6513,46.9401,47.8368,48.9088,50.1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00024586903,PP_OO_DbMiReSp_GOV,24586903,TOUJEO SOLOSTAR,BASAL INSULIN,114.2844,117.9312,123.153,127.9604,132.3596,97.5338,102.7796,107.3304,111.5202,115.3543,67.347,84.4872,88.2281,91.6722,94.8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00024591502,PP_OO_DbMiReSp_GOV,24591502,DUPIXENT,CHRONIC INFLAMMATORY DISEASE,1198.0075,1219.4292,1256.0121,1293.6925,1332.5032,994.423,1024.2556,1054.9833,1086.6328,1119.2318,190.0342,233.0182,240.0087,247.209,254.6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00024591801,PP_OO_DbMiReSp_GOV,24591801,DUPIXENT,CHRONIC INFLAMMATORY DISEASE,2101.7675,2139.3495,2203.53,2269.6359,2337.725,1744.6017,1796.9398,1850.848,1906.3734,1963.5646,333.3934,408.8038,421.0679,433.7,446.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00024592410,PP_OO_DbMiReSp_GOV,24592410,ADMELOG,RAPID ACTING,11.768,11.768,11.768,11.768,11.768,9.807,9.807,9.807,9.807,9.807,1.4416,1.7162,1.7162,1.7162,1.7162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00024592505,PP_OO_DbMiReSp_GOV,24592505,ADMELOG SOLOSTAR,RAPID ACTING,15.148,15.148,15.148,15.148,15.148,12.623,12.623,12.623,12.623,12.623,1.8556,2.209,2.209,2.209,2.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00026382125,PP_OO_DbMiReSp_GOV,26382125,KOVALTRY,ANTIHEMOPHILIC PRODUCTS,2.89,2.9739,3.1293,3.2876,3.4487,2.3788,2.495,2.6255,2.7582,2.8934,0.4371,0.4584,0.4824,0.5068,0.5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00026382425,PP_OO_DbMiReSp_GOV,26382425,KOVALTRY,ANTIHEMOPHILIC PRODUCTS,2.89,2.9739,3.1293,3.2876,3.4487,2.3788,2.495,2.6255,2.7582,2.8934,0.4371,0.4584,0.4824,0.5068,0.5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00032004670,PP_OO_DbMiReSp_GOV,32004670,CREON,DIGESTIVE ENZYMES,2.5757,2.7045,2.8397,2.9817,3.1308,2.155,2.2628,2.3759,2.4947,2.6195,0.7058,0.7411,0.7781,0.817,0.8579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00032004770,PP_OO_DbMiReSp_GOV,32004770,CREON,DIGESTIVE ENZYMES,5.1486,5.406,5.6763,5.9601,6.2582,4.308,4.5234,4.7496,4.9871,5.2364,1.4109,1.4814,1.5555,1.6333,1.7149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00032120370,PP_OO_DbMiReSp_GOV,32120370,CREON,DIGESTIVE ENZYMES,2.1754,2.2143,2.2808,2.3492,2.4198,1.8059,1.8601,1.916,1.9735,2.0327,0.5914,0.6092,0.6275,0.6463,0.6657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00032263601,PP_OO_DbMiReSp_GOV,32263601,CREON,DIGESTIVE ENZYMES,10.2053,10.5772,11.1965,11.821,12.4511,8.5842,9.1122,9.6458,10.1838,10.7267,2.8113,2.9843,3.159,3.3352,3.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00032301613,PP_OO_DbMiReSp_GOV,32301613,CREON,DIGESTIVE ENZYMES,15.4955,15.7727,16.246,16.7336,17.2358,12.8633,13.2493,13.647,14.0565,14.4784,4.2127,4.3392,4.4694,4.6035,4.7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00046110281,PP_OO_DbMiReSp_GOV,46110281,PREMARIN,ESTROGENS & COMBOS,8.4856,8.6799,9.0099,9.3421,9.6767,7.1131,7.3868,7.6677,7.9504,8.2352,1.5386,1.9021,1.9744,2.0472,2.1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00046110611,PP_OO_DbMiReSp_GOV,46110611,PREMPRO,ESTROGENS & COMBOS,10.6118,10.8653,11.3123,11.7707,12.2411,8.8991,9.2564,9.6373,10.0278,10.4285,2.2613,2.8001,2.9153,3.0334,3.1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00054006447,PP_OO_DbMiReSp_GOV,54006447,ONDANSETRON HCL,ANTIEMETICS,4.7966,4.7966,4.7966,4.7966,4.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00054032656,PP_OO_DbMiReSp_GOV,54032656,FLUTICASONE PROPIONATE/SALMETEROL,LABA LAMA COMBO,6.024,6.024,6.024,6.024,6.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00054032756,PP_OO_DbMiReSp_GOV,54032756,FLUTICASONE PROPIONATE/SALMETEROL,LABA LAMA COMBO,7.4847,7.4847,7.4847,7.4847,7.4847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00054032856,PP_OO_DbMiReSp_GOV,54032856,FLUTICASONE PROPIONATE/SALMETEROL,LABA LAMA COMBO,9.8438,9.8438,9.8438,9.8438,9.8438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00054317763,PP_OO_DbMiReSp_GOV,54317763,DEXAMETHASONE,GLUCOCORTICOSTEROIDS,0.0478,0.0478,0.0478,0.0478,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00054962857,PP_OO_DbMiReSp_GOV,54962857,SODIUM OXYBATE,NARCOLEPSY,42.8204,42.8204,42.8204,42.8204,42.8204,32.964,33.7141,34.4891,35.2352,35.9543,11.2134,11.4686,11.7323,11.9861,12.2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069022701,PP_OO_DbMiReSp_GOV,69022701,LORBRENA,ONCOLOGY,284.7937,294.748,312.617,330.6097,348.7146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069023801,PP_OO_DbMiReSp_GOV,69023801,RUXIENCE,ONCOLOGY,86.016,86.016,86.016,86.016,86.016,71.68,71.68,71.68,71.68,71.68,15.6549,18.6368,18.6368,18.6368,18.6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069024901,PP_OO_DbMiReSp_GOV,69024901,RUXIENCE,ONCOLOGY,86.016,86.016,86.016,86.016,86.016,71.68,71.68,71.68,71.68,71.68,15.6549,18.6368,18.6368,18.6368,18.6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069029310,PP_OO_DbMiReSp_GOV,69029310,NIVESTYM,WHITE BLOOD CELL - CSF,262.8,262.8,262.8,262.8,262.8,219,219,219,219,219,56.1078,66.795,66.795,66.795,66.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069052002,PP_OO_DbMiReSp_GOV,69052002,NGENLA,GROWTH HORMONES,5229,5300.0273,5421.859,5539.1555,5652.1986,4320.7142,4419.0407,4520.6212,4618.4203,4712.6731,2513.36,3060.1863,3130.5308,3198.2567,3263.5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069080901,PP_OO_DbMiReSp_GOV,69080901,INFLECTRA,CHRONIC INFLAMMATORY DISEASE,1135.54,1135.54,1135.54,1135.54,1135.54,946.28,946.28,946.28,946.28,946.28,391.476,466.0429,466.0429,466.0429,466.0429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069130610,PP_OO_DbMiReSp_GOV,69130610,RETACRIT,RED BLOOD CELL STIMULATING AGENTS,39.708,39.708,39.708,39.708,39.708,33.09,33.09,33.09,33.09,33.09,1.8067,2.1509,2.1509,2.1509,2.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069130810,PP_OO_DbMiReSp_GOV,69130810,RETACRIT,RED BLOOD CELL STIMULATING AGENTS,132.36,132.36,132.36,132.36,132.36,110.3,110.3,110.3,110.3,110.3,6.0224,7.1695,7.1695,7.1695,7.1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069150902,PP_OO_DbMiReSp_GOV,69150902,CUTAQUIG,IMMUNE SERUMS,42.6775,43.517,44.7208,45.7653,46.6579,35.633,36.8097,37.828,38.7115,39.4665,2.0665,2.5413,2.6116,2.6726,2.7248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069421030,PP_OO_DbMiReSp_GOV,69421030,VIAGRA,IMPOTENCE AGENTS,104.914,108.4819,114.0021,119.336,124.4843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00069532130,PP_OO_DbMiReSp_GOV,69532130,PAXLOVID,MISC. ANTIVIRALS,59.8453,60.848,62.4264,63.9462,65.4121,49.8596,51.2605,52.5902,53.8706,55.1055,9.214,11.2773,11.5698,11.8515,12.1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00071080324,PP_OO_DbMiReSp_GOV,71080324,NEURONTIN,ANTICONVULSANTS - 2ND GENERATION,3.5425,3.6722,3.8891,4.1084,4.3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00071374066,PP_OO_DbMiReSp_GOV,71374066,DILANTIN,ANTICONVULSANTS- 1ST GENERATION,1.793,1.8587,1.9685,2.0795,2.1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00074012402,PP_OO_DbMiReSp_GOV,74012402,HUMIRA PEN,IMMUNOMODULATORS,8307.16,8307.16,8307.16,8307.16,8307.16,6922.635,6922.635,6922.635,6922.635,6922.635,5018.9104,5157.3631,5157.3631,5157.3631,5157.3631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00074055402,PP_OO_DbMiReSp_GOV,74055402,HUMIRA PEN,IMMUNOMODULATORS,4153.57,4153.57,4153.57,4153.57,4153.57,3461.31,3461.31,3461.31,3461.31,3461.31,2509.4497,2578.6759,2578.6759,2578.6759,2578.6759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00074057622,PP_OO_DbMiReSp_GOV,74057622,VENCLEXTA,ONCOLOGY,156.2062,159.6511,166.6194,173.9519,181.6532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00074230630,PP_OO_DbMiReSp_GOV,74230630,RINVOQ,IMMUNOMODULATORS,270.1107,277.8973,291.3864,305.5303,320.3607,224.2101,235.0933,246.5047,258.4701,271.0162,94.6167,101.5603,110.1876,115.5361,121.1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00074232001,PP_OO_DbMiReSp_GOV,74232001,RINVOQ LQ,IMMUNOMODULATORS,21.609,22.6895,23.8239,25.0151,26.2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP_OO_DbMiReSp_GOV00074262528,PP_OO_DbMiReSp_GOV,74262528,MAVYRET,HEPATITIS C (HCV SP),188.5714,188.5714,188.5714,188.5714,188.5714,157.143,157.143,157.143,157.143,157.143,43.2143,43.2143,43.2143,43.2143,43.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
