,,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,
G5_GOV00002148480,G5_GOV,2148480,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7507255,556.257682,561.8197026,567.4373378,573.1111437,278.1291164,280.9101294,283.7189498,286.5558556,289.4211276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002149501,G5_GOV,2149501,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7456249,556.2525304,561.8144994,567.4320826,573.105836,278.1265406,280.9075278,283.7163222,286.5532017,289.4184472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002149580,G5_GOV,2149580,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7507255,556.257682,561.8197026,567.4373378,573.1111437,278.1291164,280.9101294,283.7189498,286.5558556,289.4211276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002150680,G5_GOV,2150680,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7507255,556.257682,561.8197026,567.4373378,573.1111437,278.1291164,280.9101294,283.7189498,286.5558556,289.4211276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002223680,G5_GOV,2223680,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5261314,508.5593786,513.6429382,518.777313,523.963011,254.2806964,256.8224862,259.3896838,261.982543,264.6013205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002237711,G5_GOV,2237711,EMGALITY,MIGRAINE PRODUCTS,971.9563715,1014.588322,1059.090195,1105.544009,1154.03538,810.0701096,845.6014047,882.6911735,921.4077738,961.8225615,388.8336526,405.8886743,423.6917633,442.2757314,461.6748295,0,0,0,0,0,0,0,0,0,0,4.086266886,5.876532758,7.809764634,9.894810941,12.14101133
G5_GOV00002245780,G5_GOV,2245780,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002246001,G5_GOV,2246001,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002246080,G5_GOV,2246080,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002247180,G5_GOV,2247180,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002248480,G5_GOV,2248480,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002249580,G5_GOV,2249580,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002250680,G5_GOV,2250680,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002298026,G5_GOV,2298026,RETEVMO,ONCOLOGY,261.7160357,272.0485848,281.1445292,287.8754104,294.7674356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002311509,G5_GOV,2311509,EMGALITY,MIGRAINE PRODUCTS,809.9581863,845.4845723,882.5692166,921.2804675,961.6896714,675.0566007,704.6659333,735.5739904,767.8377368,801.5166356,114.7596221,119.7932087,125.0475784,130.5324153,136.2578281,0,0,0,0,0,0,0,0,0,0,5.435246915,7.816523723,10.38796313,13.16133466,16.1490612
G5_GOV00002318280,G5_GOV,2318280,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5261314,508.5593786,513.6429382,518.777313,523.963011,254.2806964,256.8224862,259.3896838,261.982543,264.6013205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002322930,G5_GOV,2322930,STRATTERA,ADHD & NARCOLEPSY MEDICATIONS,17.184,17.184,17.184,17.184,17.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002323560,G5_GOV,2323560,CYMBALTA,ANTIDEPRESSANTS,10.18630253,10.32385836,10.48137979,10.67939402,10.88114913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002324030,G5_GOV,2324030,CYMBALTA,ANTIDEPRESSANTS,11.41761786,11.57005448,11.74458875,11.96395418,12.18741691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002325030,G5_GOV,2325030,STRATTERA,ADHD & NARCOLEPSY MEDICATIONS,18.54,18.54,18.54,18.54,18.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002327030,G5_GOV,2327030,CYMBALTA,ANTIDEPRESSANTS,11.41761786,11.57005448,11.74458875,11.96395418,12.18741691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002397760,G5_GOV,2397760,RETEVMO,ONCOLOGY,174.477302,181.3656659,187.4296269,191.917067,196.5119454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002411530,G5_GOV,2411530,ZYPREXA,ATYPICAL ANTIPSYCHOTICS,19.2371949,19.49733949,19.79523934,20.16972567,20.55129654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002418230,G5_GOV,2418230,OLUMIANT,IMMUNOMODULATORS,120.9759769,126.3038799,131.6163474,136.8753418,142.3444698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002418430,G5_GOV,2418430,EVISTA,OSTEOPOROSIS AGENTS,7.92,7.92,7.92,7.92,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002431208,G5_GOV,2431208,REYVOW,MIGRAINE PRODUCTS,114.4268007,116.9909909,119.9532028,123.7136157,127.5919139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002446230,G5_GOV,2446230,CIALIS,IMPOTENCE AGENTS,11.52933,11.52933,11.52933,11.52933,11.52933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002447930,G5_GOV,2447930,OLUMIANT,IMMUNOMODULATORS,242.4217352,253.4856208,264.606035,275.770822,287.4066961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002448354,G5_GOV,2448354,VERZENIO,ONCOLOGY,387.0033339,406.4901127,426.9581094,448.456731,471.0378728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002481554,G5_GOV,2481554,VERZENIO,ONCOLOGY,387.0033339,406.4901127,426.9581094,448.456731,471.0378728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002533754,G5_GOV,2533754,VERZENIO,ONCOLOGY,387.0033339,406.4901127,426.9581094,448.456731,471.0378728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002608260,G5_GOV,2608260,RETEVMO,ONCOLOGY,256.9375579,269.7844358,283.2736576,297.4373404,312.3092075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002612060,G5_GOV,2612060,RETEVMO,ONCOLOGY,513.8751266,539.5688829,566.5473271,594.8746934,624.6184281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002702660,G5_GOV,2702660,JAYPIRCA,ONCOLOGY,482.1669156,492.5981147,502.651057,512.1622203,521.8533538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002751001,G5_GOV,2751001,HUMALOG,RAPID ACTING,7.968,7.968,7.968,7.968,7.968,6.64,6.64,6.64,6.64,6.64,0.5976,0.5976,0.5976,0.5976,0.5976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002751659,G5_GOV,2751659,HUMALOG,RAPID ACTING,12.25133,12.25133,12.25133,12.25133,12.25133,10.20933,10.20933,10.20933,10.20933,10.20933,6.9423444,6.9423444,6.9423444,6.9423444,6.9423444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002771227,G5_GOV,2771227,HUMALOG KWIKPEN,RAPID ACTING,84.86333,84.86333,84.86333,84.86333,84.86333,70.72,70.72,70.72,70.72,70.72,51.272,51.272,51.272,51.272,51.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002771459,G5_GOV,2771459,HUMALOG JUNIOR KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.37904,1.37904,1.37904,1.37904,1.37904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002771559,G5_GOV,2771559,BASAGLAR KWIKPEN,BASAL INSULIN,26.10867,26.10867,26.10867,26.10867,26.10867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002772411,G5_GOV,2772411,TALTZ,IMMUNOMODULATORS,9496.902677,9907.064407,10334.94061,10781.29636,11246.92977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002772801,G5_GOV,2772801,LYUMJEV,RAPID ACTING,32.964,32.964,32.964,32.964,32.964,27.47,27.47,27.47,27.47,27.47,19.91575,19.91575,19.91575,19.91575,19.91575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002773701,G5_GOV,2773701,INSULIN LISPRO,RAPID ACTING,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002777211,G5_GOV,2777211,EBGLYSS,CHRONIC INFLAMMATORY DISEASE,2274.0249,2387.726145,2507.112452,2632.468075,2764.091479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002820705,G5_GOV,2820705,LYUMJEV KWIKPEN,RAPID ACTING,42.432,42.432,42.432,42.432,42.432,35.36,35.36,35.36,35.36,35.36,25.636,25.636,25.636,25.636,25.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002821305,G5_GOV,2821305,HUMALOG TEMPO PEN,RAPID ACTING,13.42647722,13.75335823,14.06864021,14.36811936,14.67397352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002821405,G5_GOV,2821405,BASAGLAR TEMPO PEN,BASAL INSULIN,27.53856353,28.2090174,28.85568091,29.46993179,30.09725823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002821501,G5_GOV,2821501,HUMULIN R,SHORT ACTING,5.353,5.353,5.353,5.353,5.353,4.461,4.461,4.461,4.461,4.461,0.40149,0.40149,0.40149,0.40149,0.40149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002822259,G5_GOV,2822259,INSULIN LISPRO KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002822827,G5_GOV,2822827,LYUMJEV KWIKPEN,RAPID ACTING,84.86333,84.86333,84.86333,84.86333,84.86333,70.72,70.72,70.72,70.72,70.72,51.272,51.272,51.272,51.272,51.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002823305,G5_GOV,2823305,INSULIN LISPRO PROTAMINE/INSULIN LISPRO KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002831501,G5_GOV,2831501,HUMULIN N,SHORT ACTING,5.353,5.353,5.353,5.353,5.353,4.461,4.461,4.461,4.461,4.461,0.40149,0.40149,0.40149,0.40149,0.40149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002840001,G5_GOV,2840001,FORTEO,OSTEOPOROSIS AGENTS,2459.450048,2548.032061,2638.680849,2733.55198,2831.834108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002871501,G5_GOV,2871501,HUMULIN 70/30,SHORT ACTING,5.353,5.353,5.353,5.353,5.353,4.461,4.461,4.461,4.461,4.461,0.40149,0.40149,0.40149,0.40149,0.40149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002879759,G5_GOV,2879759,HUMALOG MIX 75/25 KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.37904,1.37904,1.37904,1.37904,1.37904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002879859,G5_GOV,2879859,HUMALOG MIX 50/50 KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.37904,1.37904,1.37904,1.37904,1.37904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002879959,G5_GOV,2879959,HUMALOG KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.37904,1.37904,1.37904,1.37904,1.37904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002880359,G5_GOV,2880359,HUMULIN 70/30 KWIKPEN,SHORT ACTING,11.31133,11.31133,11.31133,11.31133,11.31133,9.426,9.426,9.426,9.426,9.426,1.22538,1.22538,1.22538,1.22538,1.22538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002880559,G5_GOV,2880559,HUMULIN N KWIKPEN,SHORT ACTING,11.31133,11.31133,11.31133,11.31133,11.31133,9.426,9.426,9.426,9.426,9.426,1.22538,1.22538,1.22538,1.22538,1.22538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00002882427,G5_GOV,2882427,HUMULIN R U-500 KWIKPEN,SHORT ACTING,114.84,114.84,114.84,114.84,114.84,95.7,95.7,95.7,95.7,95.7,26.96826,26.96826,26.96826,26.96826,26.96826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003029305,G5_GOV,3029305,KENALOG-40,GLUCOCORTICOSTEROIDS,11.23,11.23,11.23,11.23,11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003052411,G5_GOV,3052411,SPRYCEL,ONCOLOGY,404.94933,404.94933,404.94933,404.94933,404.94933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003052711,G5_GOV,3052711,SPRYCEL,ONCOLOGY,202.475,202.475,202.475,202.475,202.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003052811,G5_GOV,3052811,SPRYCEL,ONCOLOGY,404.94933,404.94933,404.94933,404.94933,404.94933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003085222,G5_GOV,3085222,SPRYCEL,ONCOLOGY,729.85333,729.85333,729.85333,729.85333,729.85333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003085722,G5_GOV,3085722,SPRYCEL,ONCOLOGY,729.85333,729.85333,729.85333,729.85333,729.85333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003089321,G5_GOV,3089321,ELIQUIS,ORAL ANTICOAGULANTS,6.743174063,6.743174063,6.743174063,6.743174063,6.743174063,5.619599108,5.619599108,0,0,0,1.072180301,0.660236648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003089331,G5_GOV,3089331,ELIQUIS,ORAL ANTICOAGULANTS,6.74371348,6.74371348,6.74371348,6.74371348,6.74371348,5.620082941,5.620082941,0,0,0,1.072272613,0.660293493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003089421,G5_GOV,3089421,ELIQUIS,ORAL ANTICOAGULANTS,6.743174063,6.743174063,6.743174063,6.743174063,6.743174063,5.619599108,5.619599108,0,0,0,1.072180301,0.660236648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003089431,G5_GOV,3089431,ELIQUIS,ORAL ANTICOAGULANTS,6.74371348,6.74371348,6.74371348,6.74371348,6.74371348,5.620082941,5.620082941,0,0,0,1.072272613,0.660293493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003089470,G5_GOV,3089470,ELIQUIS,ORAL ANTICOAGULANTS,6.743240795,6.743240795,6.743240795,6.743240795,6.743240795,5.61969365,5.61969365,0,0,0,1.072198339,0.660247756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003089511,G5_GOV,3089511,SOTYKTU,CHRONIC INFLAMMATORY DISEASE,285.7682972,291.9506086,297.9087366,303.5457657,309.2894587,238.1583396,243.3106571,248.276141,252.9740222,257.7607966,107.1712528,109.4897957,111.7242635,113.83831,115.9923585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003218811,G5_GOV,3218811,ORENCIA,IMMUNOMODULATORS,1993.220927,2097.841107,2200.689866,2298.739402,2401.157437,1661.331849,1748.531836,1834.255357,1915.97877,2001.343289,249.1997774,262.2797753,275.1383036,287.3968156,300.2014933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003218851,G5_GOV,3218851,ORENCIA CLICKJECT,IMMUNOMODULATORS,1993.220927,2097.841107,2200.689866,2298.739402,2401.157437,1661.331849,1748.531836,1834.255357,1915.97877,2001.343289,249.1997774,262.2797753,275.1383036,287.3968156,300.2014933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003373413,G5_GOV,3373413,OPDIVO,ONCOLOGY,416.8903493,427.9162653,439.2457763,451.2723257,463.628162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00003376474,G5_GOV,3376474,ELIQUIS STARTER PACK,ORAL ANTICOAGULANTS,6.743240795,6.743240795,6.743240795,6.743240795,6.743240795,5.61969365,5.61969365,0,0,0,1.072198339,0.660247756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00004026001,G5_GOV,4026001,CELLCEPT,TRANSPLANT,21.5902,21.5902,21.5902,21.5902,21.5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00004080085,G5_GOV,4080085,TAMIFLU,INFLUENZA AGENTS,18.226,18.226,18.226,18.226,18.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00004080285,G5_GOV,4080285,TAMIFLU,INFLUENZA AGENTS,16.721,16.721,16.721,16.721,16.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00004082205,G5_GOV,4082205,TAMIFLU,INFLUENZA AGENTS,3.03767,3.03767,3.03767,3.03767,3.03767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00005010005,G5_GOV,5010005,TRUMENBA,VACCINES,569.2499257,606.0411176,643.3726444,681.0620573,720.9593537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00005010010,G5_GOV,5010010,TRUMENBA,VACCINES,569.2509202,606.0421764,643.3743745,681.0645321,720.9626545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00005200002,G5_GOV,5200002,PREVNAR 20,VACCINES,730.426337,755.8575908,781.1924255,806.5725862,832.777323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00005200010,G5_GOV,5200010,PREVNAR 20,VACCINES,708.1878333,732.8327699,757.3848661,781.9832118,807.3804626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006000530,G5_GOV,6000530,BELSOMRA,SEDATIVE HYPNOTICS,20.83019904,21.92003505,23.00435343,24.06973104,25.18444843,17.36135488,18.26970097,19.17344827,0,0,10.59042648,11.14451759,10.98100963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006003330,G5_GOV,6003330,BELSOMRA,SEDATIVE HYPNOTICS,20.83019904,21.92003505,23.00435343,24.06973104,25.18444843,17.36135488,18.26970097,19.17344827,0,0,10.59042648,11.14451759,10.98100963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006007861,G5_GOV,6007861,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006008061,G5_GOV,6008061,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006008062,G5_GOV,6008062,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006008131,G5_GOV,6008131,JANUMET XR,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5_GOV00006008154,G5_GOV,6008154,JANUMET XR,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
