,,,,AWP/QTY,,,,,WAC/QTY,,,,,Base/QTY,,,,,MAF/QTY,,,,,PPL/QTY,,,,,PPA/QTY,,,,
IBCprem_BoG_GOV,2148480,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7241647,556.2308556,561.792608,567.4099723,573.0835046,304.275101,307.3175477,310.3904159,313.4940097,316.6286363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2149580,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7241647,556.2308556,561.792608,567.4099723,573.0835046,304.275101,307.3175477,310.3904159,313.4940097,316.6286363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2150601,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7210918,556.227752,561.7894733,567.4068062,573.0803069,304.2734032,307.315833,310.388684,313.4922604,316.6268696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2150680,MOUNJARO,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),660.8806903,667.4888363,674.1630572,680.9040136,687.7123728,550.7241647,556.2308556,561.792608,567.4099723,573.0835046,304.275101,307.3175477,310.3904159,313.4940097,316.6286363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2223680,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5024502,508.5354607,513.6187812,518.7529145,523.9383686,263.0800302,265.7097782,268.3658132,271.0483978,273.7577976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2237711,EMGALITY,MIGRAINE PRODUCTS,971.9563715,1014.588322,1059.090195,1105.544009,1154.03538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2245780,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,573.9428784,587.9160917,601.3934802,614.1953432,627.2697195,309.9291543,317.4746895,324.7524793,331.6654853,338.7256485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2246080,ZEPBOUND,GLP-1 ANTI-OBESITY AGENTS,687.5182259,704.2565447,720.4009217,735.7360961,751.3977104,573.9428784,587.9160917,601.3934802,614.1953432,627.2697195,309.9291543,317.4746895,324.7524793,331.6654853,338.7256485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2311509,EMGALITY,MIGRAINE PRODUCTS,809.9581863,845.4845723,882.5692166,921.2804675,961.6896714,675.0535745,704.6627744,735.570693,767.8342947,801.5130426,208.1782597,217.3093746,226.8409983,236.7906982,247.1768118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2318280,TRULICITY,GLUCAGON-LIKE PEPTIDE-1 AGONISTS (GLP1),604.215793,610.255534,616.3556484,622.5167394,628.7394168,503.5024502,508.5354607,513.6187812,518.7529145,523.9383686,263.0800302,265.7097782,268.3658132,271.0483978,273.7577976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2327030,CYMBALTA,ANTIDEPRESSANTS,11.41761786,11.57005448,11.74458875,11.96395418,12.18741691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2418230,OLUMIANT,IMMUNOMODULATORS,120.9759769,126.3038799,131.6163474,136.8753418,142.3444698,102.6393096,107.1596474,111.6668893,116.1287632,120.7689202,40.285929,42.0601616,43.82925406,45.58053956,47.40180118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2431208,REYVOW,MIGRAINE PRODUCTS,114.4268007,116.9909909,119.9532028,123.7136157,127.5919139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2447930,OLUMIANT,IMMUNOMODULATORS,242.4217352,253.4856208,264.606035,275.770822,287.4066961,205.7111242,215.0995742,224.5359926,234.0100642,243.8838849,80.74161626,84.42658289,88.13037708,91.84895021,95.72442481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2449108,REYVOW,MIGRAINE PRODUCTS,114.4268007,116.9909909,119.9532028,123.7136157,127.5919139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2481554,VERZENIO,ONCOLOGY,387.0033339,406.4901127,426.9581094,448.456731,471.0378728,322.5745972,338.8171959,355.8776582,373.7971659,392.6189746,36.74134985,38.59138703,40.53457915,42.57561681,35.5179563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2533754,VERZENIO,ONCOLOGY,387.0033339,406.4901127,426.9581094,448.456731,471.0378728,322.5745972,338.8171959,355.8776582,373.7971659,392.6189746,36.74134985,38.59138703,40.53457915,42.57561681,35.5179563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2614511,BAQSIMI ONE PACK,GLUCOSE,336.96,336.96,336.96,336.96,336.96,280.8,280.8,280.8,280.8,280.8,65.286,65.286,65.286,65.286,65.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2614527,BAQSIMI TWO PACK,GLUCOSE,336.96,336.96,336.96,336.96,336.96,280.8,280.8,280.8,280.8,280.8,65.286,65.286,65.286,65.286,65.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2751001,HUMALOG,RAPID ACTING,7.968,7.968,7.968,7.968,7.968,6.64,6.64,6.64,6.64,6.64,0.3486,0.3486,0.3486,0.3486,0.3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2751017,HUMALOG,RAPID ACTING,32.96333,32.96333,32.96333,32.96333,32.96333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2751101,HUMALOG MIX 75/25,RAPID ACTING,10.249,10.249,10.249,10.249,10.249,8.541,8.541,8.541,8.541,8.541,0.4484025,0.4484025,0.4484025,0.4484025,0.4484025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2751659,HUMALOG,RAPID ACTING,12.25133,12.25133,12.25133,12.25133,12.25133,10.209,10.209,10.209,10.209,10.209,1.1995575,1.1995575,1.1995575,1.1995575,1.1995575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2753301,HUMALOG,RAPID ACTING,7.96667,7.96667,7.96667,7.96667,7.96667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2771227,HUMALOG KWIKPEN,RAPID ACTING,84.86333,84.86333,84.86333,84.86333,84.86333,70.72,70.72,70.72,70.72,70.72,49.1504,49.1504,49.1504,49.1504,49.1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2771459,HUMALOG JUNIOR KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2771559,BASAGLAR KWIKPEN,BASAL INSULIN,26.10867,26.10867,26.10867,26.10867,26.10867,21.757,21.757,21.757,21.757,21.757,16.10018,16.10018,16.10018,16.10018,16.10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2772411,TALTZ,IMMUNOMODULATORS,9496.902677,9907.064407,10334.94061,10781.29636,11246.92977,7915.109962,8256.955646,8613.565303,8985.576575,9373.654642,5037.967491,5255.552269,5482.534316,5719.31949,5966.33118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2772801,LYUMJEV,RAPID ACTING,32.964,32.964,32.964,32.964,32.964,27.47,27.47,27.47,27.47,27.47,19.09165,19.09165,19.09165,19.09165,19.09165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2773701,INSULIN LISPRO,RAPID ACTING,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2775205,INSULIN LISPRO JUNIOR KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2777211,EBGLYSS,CHRONIC INFLAMMATORY DISEASE,2267.3511,2380.718655,2499.754588,2624.742317,2755.979433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2801127,OMVOH,IMMUNOMODULATORS,6829.214888,6976.958123,7119.343884,7254.056109,7391.317359,5642.968937,5765.048927,5882.702045,5994.014533,6107.433276,3272.921983,3343.728377,3411.967186,3476.528429,3542.3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2814701,HUMATROPE,GROWTH HORMONES,1145.138291,1167.942574,1194.270336,1227.552262,1261.761688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2820705,LYUMJEV KWIKPEN,RAPID ACTING,42.432,42.432,42.432,42.432,42.432,35.36,35.36,35.36,35.36,35.36,24.5752,24.5752,24.5752,24.5752,24.5752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2821305,HUMALOG TEMPO PEN,RAPID ACTING,13.42647722,13.75335823,14.06864021,14.36811936,14.67397352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2821405,BASAGLAR TEMPO PEN,BASAL INSULIN,27.53856353,28.2090174,28.85568091,29.46993179,30.09725823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2821501,HUMULIN R,SHORT ACTING,5.353,5.353,5.353,5.353,5.353,4.461,4.461,4.461,4.461,4.461,0.5241675,0.5241675,0.5241675,0.5241675,0.5241675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2822259,INSULIN LISPRO KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2822827,LYUMJEV KWIKPEN,RAPID ACTING,84.86333,84.86333,84.86333,84.86333,84.86333,70.72,70.72,70.72,70.72,70.72,49.1504,49.1504,49.1504,49.1504,49.1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2823305,INSULIN LISPRO PROTAMINE/INSULIN LISPRO KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2823505,LYUMJEV TEMPO PEN,RAPID ACTING,44.75587334,45.84549984,46.89646207,47.89474706,48.91428254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2831501,HUMULIN N,SHORT ACTING,5.353,5.353,5.353,5.353,5.353,4.461,4.461,4.461,4.461,4.461,0.5241675,0.5241675,0.5241675,0.5241675,0.5241675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2840001,FORTEO,OSTEOPOROSIS AGENTS,2459.450048,2548.032061,2638.680849,2733.55198,2831.834108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2850101,HUMULIN R U-500 (CONCENTRATED),SHORT ACTING,89.22,89.22,89.22,89.22,89.22,74.35,74.35,74.35,74.35,74.35,25.836625,25.836625,25.836625,25.836625,25.836625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2871501,HUMULIN 70/30,SHORT ACTING,5.353,5.353,5.353,5.353,5.353,4.461,4.461,4.461,4.461,4.461,0.5241675,0.5241675,0.5241675,0.5241675,0.5241675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2879759,HUMALOG MIX 75/25 KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2879859,HUMALOG MIX 50/50 KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2879901,HUMALOG KWIKPEN,RAPID ACTING,12.72667,12.72667,12.72667,12.72667,12.72667,10.607,10.607,10.607,10.607,10.607,1.2463225,1.2463225,1.2463225,1.2463225,1.2463225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2879959,HUMALOG KWIKPEN,RAPID ACTING,12.72933,12.72933,12.72933,12.72933,12.72933,10.608,10.608,10.608,10.608,10.608,1.24644,1.24644,1.24644,1.24644,1.24644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2880359,HUMULIN 70/30 KWIKPEN,SHORT ACTING,11.31133,11.31133,11.31133,11.31133,11.31133,9.426,9.426,9.426,9.426,9.426,1.107555,1.107555,1.107555,1.107555,1.107555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2880559,HUMULIN N KWIKPEN,SHORT ACTING,11.31133,11.31133,11.31133,11.31133,11.31133,9.426,9.426,9.426,9.426,9.426,1.107555,1.107555,1.107555,1.107555,1.107555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2882427,HUMULIN R U-500 KWIKPEN,SHORT ACTING,114.84,114.84,114.84,114.84,114.84,95.7,95.7,95.7,95.7,95.7,33.25575,33.25575,33.25575,33.25575,33.25575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,2898005,REZVOGLAR KWIKPEN,BASAL INSULIN,7.76308512,7.95208519,8.134378791,8.307535313,8.484377817,6.546824175,6.706213156,6.859946387,7.005974065,7.155110235,0.507378874,0.51973152,0.531645845,0.54296299,0.554521043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3005060,COBENFY,ATYPICAL ANTIPSYCHOTICS,39.948567,41.94599535,44.04329512,46.24545987,48.55773287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3052411,SPRYCEL,ONCOLOGY,404.94933,404.94933,404.94933,404.94933,404.94933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3052711,SPRYCEL,ONCOLOGY,202.475,202.475,202.475,202.475,202.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3089321,ELIQUIS,ORAL ANTICOAGULANTS,6.743174063,6.743174063,6.743174063,6.743174063,6.743174063,5.619054784,5.619054784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3089421,ELIQUIS,ORAL ANTICOAGULANTS,6.743174063,6.743174063,6.743174063,6.743174063,6.743174063,5.619054784,5.619054784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3089431,ELIQUIS,ORAL ANTICOAGULANTS,6.74371348,6.74371348,6.74371348,6.74371348,6.74371348,5.619615456,5.619615456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3089470,ELIQUIS,ORAL ANTICOAGULANTS,6.743240795,6.743240795,6.743240795,6.743240795,6.743240795,5.619054784,5.619054784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3089511,SOTYKTU,CHRONIC INFLAMMATORY DISEASE,285.7682972,291.9506086,297.9087366,303.5457657,309.2894587,236.5866834,241.7049997,246.6377153,251.3045942,256.0597797,105.2810741,107.5587249,109.7537833,111.8305444,113.946602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3218713,ORENCIA,IMMUNOMODULATORS,2010.12246,2092.453056,2176.783099,2264.851389,2356.482747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3218811,ORENCIA,IMMUNOMODULATORS,1993.220927,2097.841107,2200.689866,2298.739402,2401.157437,1678.470938,1766.57052,1853.178407,1935.744918,2021.990097,553.8954095,582.9682718,611.5488743,638.7958228,667.2567319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3218851,ORENCIA CLICKJECT,IMMUNOMODULATORS,1993.220927,2097.841107,2200.689866,2298.739402,2401.157437,1678.470938,1766.57052,1853.178407,1935.744918,2021.990097,565.5733375,595.2591508,624.442326,652.2637293,681.3246875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3373413,OPDIVO,ONCOLOGY,416.8903493,427.9162653,439.2457763,451.2723257,463.628162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,3376474,ELIQUIS STARTER PACK,ORAL ANTICOAGULANTS,6.743240795,6.743240795,6.743240795,6.743240795,6.743240795,5.619044762,5.619044762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,4082205,TAMIFLU,INFLUENZA AGENTS,3.03767,3.03767,3.03767,3.03767,3.03767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,5010005,TRUMENBA,VACCINES,569.2499257,606.0411176,643.3726444,681.0620573,720.9593537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,5010010,TRUMENBA,VACCINES,569.2509202,606.0421764,643.3743745,681.0645321,720.9626545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,5200002,PREVNAR 20,VACCINES,730.426337,755.8575908,781.1924255,806.5725862,832.777323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,5200010,PREVNAR 20,VACCINES,708.1878333,732.8327699,757.3848661,781.9832118,807.3804626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6000530,BELSOMRA,SEDATIVE HYPNOTICS,20.83019904,21.92003505,23.00435343,24.06973104,25.18444843,17.38937187,18.29918381,19.20438953,0,0,10.30320283,10.84226641,10.68319296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6003330,BELSOMRA,SEDATIVE HYPNOTICS,20.83019904,21.92003505,23.00435343,24.06973104,25.18444843,17.38937187,18.29918381,19.20438953,0,0,10.30320283,10.84226641,10.68319296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6007861,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6007862,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6008061,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6008062,JANUMET XR,DPP-4 INHIBITORS & COMBOS,6.6,6.6,6.6,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6008131,JANUMET XR,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6008154,JANUMET XR,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6008182,JANUMET XR,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6011231,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6011254,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6022128,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6022131,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6022154,JANUVIA,DPP-4 INHIBITORS & COMBOS,13.2,13.2,13.2,13.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBCprem_BoG_GOV,6022761,ISENTRESS,HIV-INTEGRASE INHIBITOR,46.25103974,48.53625737,50.81896609,53.08630508,55.45480367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
